N°;type-id;thematic-id;Titre;author-id;editor-id;Mentions d'édition;Date de publication;Pagination;Tomaison;collection-id;language-id;ISSN - ISBN;Support;Adresse Document Source;Lien URL;localisation-id;Cote;Résumé;Statut;
657;21;3;L'Habiter - un impensé de la politique de la ville;70;132;Non;04/01/18;349 p.;Non;111;5;978-2-8159-2719-2;Physique;Non;Non;1;AMU 00185;Cet ouvrage - nourri par de nombreuses recherches et interventions dans les grands ensembles d’habitat social - révèle la diversité de ces quartiers et des modes d’habiter de leurs occupants. Il montre l’importance que représente l’habitat pour ces personnes - et le rôle décisif qu’il joue dans leur inscription dans la société. Dépassant les vaines oppositions entre urbain et social - conditions de vie et cadre de vie - il met en évidence les interactions entre les situations socio_-économiques des habitants - la conception des espaces urbains et leur gestion - ainsi que les politiques publiques qui contribuent à façonner modes d’habiter et situations habitantes. Cette analyse réinterroge les fondements de la politique de la ville et propose une nouvelle conception de l’action.;Disponible;
658;21;3;Touristes et habitants;283;145;Non;01/07/17;171 p.;Non;111;5;978-2-88474-395-2;Physique;Non;Non;1;AMU 00186;Cet ouvrage s’inscrit dans la série proposée par le Laboratoire d’excellence Futurs Urbains (Labex) qui invite deux chercheurs à mettre en regard leurs points de vue sur une question urbaine d’actualité. Marie Delaplace et Gwendal Simon explorent ici les enjeux de la coprésence des touristes et des habitants dans les territoires soumis à l’incidence croissante du tourisme. À partir d’une lecture en termes d’économie résidentielle et touristique - Marie Delaplace souligne la possible complémentarité entre tourisme et économie productive - et entre touristes et habitants. Gwendal Simon plaide pour une approche critique de la catégorisation « touriste et habitant » en soulignant la variété des situations d’entre-deux et des formes de conflits. Il conclut sur la nécessité de politiques dédiées à l’ensemble des usagers d’un territoire - permanents comme occasionnels.;Non disponible;
659;14;13;Les lotissements : Une histoire de l'habitat individuel groupé de 1940 à nos jours;336;259;Non;01/06/17;294 p.;Non;111;5;Non;Physique;Non;Non;1;HAB 00041;Le terme lotissement évoque parfois la « France moche » comme a pu le titrer un grand hebdomadaire français. Cette étude - initiée par le ministère de la Culture - permet de resituer la place de cette forme urbaine depuis la période expérimentale de l’après-guerre jusqu’à nos jours et de réfuter cette image souvent injuste. La sélection présentée dans ce livre offre une variété de contextes et d’organisations à même de révéler les caractéristiques et l’identité des lieux - de créer des paysages cohérents et d’avoir valeur d’exemple du point de vue de l’expérimentation de nouvelles dispositions spatiales ou d’implantation. La majorité des ensembles d’habitat individuel présentés dans cet ouvrage ont été conçus par des architectes - à l’exception de quelques-uns réalisés par des ingénieurs ou d’autres - en autoconstruction.;Non disponible;
660;12;13;Programme Local de l'habitat 2016-2021 de l'Agglomération Côte basque-Adour | Partie I;4;336;Non;01/07/16;119 p.;T1;111;5;Non;Physique;Z:\0_BIBLIOTHEQUE\Documenthèque\_BD_DOC\BD_Docs&Ressources\Habitat_Logement\hab00042_PLH_ACBA_2016-2021_Doc 1_Diagnostic.pdf;http://www.agglo-cotebasque.fr/les-politiques-publiques/habitat-et-politique-de-la-ville/1027-la-politique-locale-de-l-habitat.html;1;HAB 00042;Le défi de ce PLH - contributeur de la cohésion sociale sur le territoire - est de poursuivre les efforts engagés - de renforcer le rôle de régulation de l'action publique pour un développement équilibré de l'habitat tant du point de vue social qu'urbain - permettant à l'ensemble des ménages - dans une logique d'équilibre intergénérationnel - de vivre sur ce territoire et de contribuer à son dynamisme social - culturel et économique. Ce premier tome propose le diagnostic territorial.;Disponible;
661;12;13;Programme local de l'habitat 2016-2021 de l'Agglomération Côte basque-Adour | Parties II - III - IV;4;336;Non;01/07/16;103 p.;T2;111;5;Non;Physique & en ligne;Z:\0_BIBLIOTHEQUE\Documenthèque\_BD_DOC\BD_Docs&Ressources\Habitat_Logement\hab00043_PLH_ACBA_2016-2021_Doc2_orientations_programme_actions.pdf;http://www.agglo-cotebasque.fr/les-politiques-publiques/habitat-et-politique-de-la-ville/1027-la-politique-locale-de-l-habitat.html;1;HAB 00043;Le défi de ce PLH - contributeur de la cohésion sociale sur le territoire - est de poursuivre les efforts engagés - de renforcer le rôle de régulation de l'action publique pour un développement équilibré de l'habitat tant du point de vue social qu'urbain - permettant à l'ensemble des ménages - dans une logique d'équilibre intergénérationnel - de vivre sur ce territoire et de contribuer à son dynamisme social - culturel et économique. Ce deuxième tome compile les parties II : Orientations et objectifs  - III : Programme d'actions  - et IV : Territorialisation. ;Disponible;
647;21;10;Le patrimoine naturel du Pays Basque;376;24;Non;01/07/17;104 p.;Non;111;5;979-10-93512-06-8;Physique;Non;Non;1;ENV 00077;"Publier une série d'articles sur le patrimoine naturel peut paraître un paradoxe pour le bulletin d'un musée dit de société. On pouvait attendre cela d'un écomusée ou d'un muséum d'histoire naturelle. La Société des Amis du Musée Basque a accepté toutefois la proposition du Conseil de développement du Pays Basque (CDPB) de mener à bien une action particulière - celle de réunir des contributeurs d'horizons différents pour explorer ce sujet. Cette publication est aujourd'hui une des actions retenues dans le cadre du chantier organisé sur le patrimoine naturel par le CDPB. Chemin faisant - le paradoxe initial s'est estompé tant le patrimoine naturel se trouve à la croisée de la culture et de la nature. Bien sûr - des points de vue variés s'expriment ici - ce qui en fait tout l'intérêt. Plusieurs auteurs donnent priorité aux composantes écologiques comme les écosystèmes et la biodiversité. D'autres y voient plutôt les paysages qu'ils soient ruraux ou urbains. D'autres encore le regardent au travers de la mythologie ou des arts. Et certains choisissent le prisme des activités comme le tourisme et l'agriculture - ou des espaces concernés comme le littoral. Entre nature et culture - entre développement et protection - entre conservation et transmission - entre choix individuel et collectif - le patrimoine naturel du Pays Basque est apparu mal connu et peu décrit. Il est pourtant riche et varié et participe largement à la qualité de ce pays.  L'AUDAP a participé a ce travail en proposant une contribution : ""La nature et la ville : vers une reconciliation ?"".";Non disponible;
655;12;20;La transition urbaine ou le passage de la ville pédestre à la ville motorisée;281;66;Non;01/01/99;149 p.;Non;111;5;2-87009-703-4;Physique;Non;Non;1;AMU 00183;Marc Wiel met en lumière les effets de la « mobilité facilitée » sur la ville : le passage d’une ville condensée à métrique piétonne à une ville éparpillée voire éclatée à métrique principalement automobile - à la recherche d’une nouvelle identité culturelle et institutionnelle.;Disponible;
654;21;3;Ville et numérique : évolution - transition - révolution…;57;282;Non;01/01/18;50 p.;Non;12;5;Non;Physique & en ligne;Non;http://www.revue-belveder.org/wp-content/uploads/PDF/N2/BelvedeRn02.pdf;1;AMU 00184;« Ville et numérique » - un numéro de Belvede_ dans l’air du temps… certainement - mais non pas par effet de mode mais par conviction : la présence accrue des outils numériques dans nos vies comme dans nos villes - a des impacts considérables et vient bousculer profondément les manières de vivre - de penser - et de faire la ville et les territoires. Il s’agit d’éclairer ce qui se joue aujourd’hui sous nos yeux et que l’on peine à qualifier _ une évolution - une transition - une révolution… _ mais dont nous sommes tous acteurs. Les articles de ce nouveau numéro de Belvede_ proposent ainsi un décryptage des mutations dont le numérique est le levier - en matière de commerce - d’économie - d’innovation - de déplacement - d’emploi… Ils donnent à voir des expérimentations porteuses d’avenir comme des évolutions qui font déjà notre quotidien.;Disponible;
653;21;3;Densité - architecture et territoire - Cinq histoires européennes;242;134;Non;31/12/16;199 p.;Non;111;5;978-3-86859-436-2;Physique;Non;Non;1;AMU 00182;Le livre propose une réflexion sur la densité comme modèle de développement durable. Basé sur l'analyse de cinq projets urbains et architecturaux en Europe - à travers leur dimension physique - économique et sociale - l'ouvrage montre que la densité constitue le socle urbain des relations humaines et le cadre de l'épanouissement des sociétés contemporaines. ;Disponible;
639;12;3;Berlin - Le génie de l'improvisation;51;70;Non;08/09/17;224 p.;Non;121;5;978-2-86364-249-8;Physique;Non;Non;1;AMU 00175;"Ce livre prolonge l'atelier ""projet urbain"" qui s'est déroulé à Berlin les 18 et 19 septembre 2017. Les architectes urbanistes explorent la politique de Berlin face à la gentrification - à la croissance démographique - à la montée des prix de l'immobilier et aux déficits publics. Ils montrent comment la ville met en place ses stratégies pour accueillir les habitants - les touristes et les entreprises : partenariats public-privé - initiatives citoyennes - actions sociales et économiques - entre autres.";Non disponible;
652;21;1;Les dossiers FNAU #34 | Les agences d'urbanisme en régions;174;167;Non;01/04/15;27 p.;Non;111;5;1295-5760;Physique & en ligne;Non;http://www.fnau.org/wp-content/uploads/2016/03/FNAU-34-REGIONS-PDF-BD-DEF.pdf;3;AMT 00069 (2);Les dossiers de la FNAU # 34 illustre la diversité et la richesse des coopérations entre les régions et les agences dí'urbanisme et montre les premiers travaux qui s'íesquissent au sein du réseau de la FNAU pour décrypter les dynamiques et les enjeux des nouvelles entités régionales.;Disponible;
651;21;20;Assises nationales de la Mobilité - Contribution de la Région Nouvelle-Aquitaine;356;47;Non;22/01/18;27 p.;Non;111;5;Non;Physique & en ligne;Non;https://issuu.com/conseilregional/docs/contributionregionassisesnationales;1;TRA 00063;Les Assises nationales de la Mobilité lancées en fin d'année 2017 ont permis la mobilisation de l'ensemble des acteurs autour des thématiques de la mobilité - en accordant une attention particulière aux transports de la vie quotidienne - aux zones rurales et périurbaines. Les élus et les services de la Région-Aquitaine ont ainsi contribué aux différents ateliers d'experts nationaux - et ont participé activement à l'organisation des ateliers territoriaux. Au regard de ses compétences en matière de transport de voyageurs - d'intermodalité - logistique - et d'aménagement du territoire - la Région Nouvelle-Aquitaine a souhaité alimenter la réflexion sous la forme d'une contribution. La Région Nouvelle-Aquitaine propose un certain nombre de réponses à ces enjeux et de mesures lui permettant - aux côtés des autres acteurs de la mobilité - de poursuivre ses missions avec la plus grande efficience possible. Désireuse de satisfaire au mieux les besoins de mobilité des habitants et acteurs de tous les territoires la composant - la Région Nouvelle-Aquitaine entend ainsi accélérer les évolutions nécessaires de ses infrastructures - systèmes et services de transports - au service de l'ensemble de la population.;Non disponible;
650;21;3;Villes et territoires en diagonale;345;70;Non;06/12/17;191 p.;Non;111;5;978-2-86364-217-7;Physique;Non;Non;1;AMU 00181;"Comment la recherche peut-elle nourrir l'action ? Et réciproquement ? Qui pour répondre à la question si ce n'est un chercheur engagé et atypique - ayant osé s'impliquer dans l'opérationnel ? Qui mieux que Pierre Veltz ? Ingénieur - sociologue et économiste - enseignant et chercheur n'appartenant à aucune chapelle - Pierre Veltz est passé à l'action à travers son engagement dans la création du Grand Paris et dans le pilotage de l'aménagement du plateau de Saclay. Les réponses qu'il propose - claires et généreuses - sont d'autant plus précieuses que la période est confuse et que l'urbanisme et l'aménagement peinent à se redéfinir face aux bouleversements économiques - sociaux et environnementaux à l'oeuvre depuis le début du XXIe siècle. Pierre Veltz lutte contre la morosité ambiante en démontrant que les villes et les territoires jouent un rôle central dans la capacité de la France à affronter les défis de la mondialisation - de la révolution numérique et de la mutation écologique. Il s'interroge sur l'évolution des relations entre Paris et les capitales régionales et sur une possible ""métropole France en réseaux"" qui ne feraient pas l'impasse sur la ruralité et les territoires peu denses. L'ouvrage explore de nombreuses pistes avec des complices et des responsables institutionnels sur des sujets aussi divers que l'avenir de la métropole francilienne - l'avenir du travail et de l'industrie ou l'idée d'une ""Agence France"" qui penserait le territoire national comme un projet - considérant l'aménagement du territoire et l'aménagement urbain comme un même combat ! L'ouvrage présente également les trois nominés au Grand Prix - Jacques Lévy - géographe et chercheur de renommée internationale - favorable à un territoire dense et économe - Alfred Peter - paysagiste engagé dans le durable et le rôle des transports comme moteur de l'urbanité frugale et Philippe Madec - architecte-urbaniste qui a anticipé le développement durable avant la lettre comme mode de pensée et d'action.";Disponible;
649;21;3;La ville agricole;357;72;Non;01/05/17;72 p.;Non;111;5;978-2-9561008-0-5;Physique;Non;Non;1;AMU 00180;L'agriculture vit une révolution urbaine sans précédent traduisant un changement de civilisation profond sans doute aussi conséquent que celui qui s'est produit au Néolithique. En Europe - moins de 4 % de la population vit désormais directement de l'agriculture - à l'échelle mondiale la population est depuis quelques années majoritairement urbaine. Plus une société est urbaine et plus elle est nécessairement agricole - au moins en termes de besoins nourriciers - et pourtant l'agriculture et la ville restent aujourd'hui largement séparées dans leur pensée et leur développement alors qu'elles sont totalement liées et indissociables. L'agriculture est indéniablement urbaine et la ville agricole - et ces deux projets se doivent d'être assumés comme communs. C'est ainsi les fondements de cette révolution urbaine que cet ouvrage tente d'explorer et interroge brièvement et de manière non exhaustive les formes et les moyens possibles de cette transition nourricière - environnementale et urbaine indispensable de l'agriculture - dirigée vers la construction d'une ville consciemment agricole - imaginative et vivante.;Disponible;
642;21;3;Traits d'agence : construire l'Europe des lieux et des liens;174;167;Non;01/11/17;27 p.;Non;111;5;1776-9604;Physique & en ligne;Non;http://www.fnau.org/wp-content/uploads/2017/10/ta-31-web-ok.pdf;1;AMU 00178;Le Traits d’Agences d’automne 2017 est consacré à la 38e Rencontre Nationale des Agences d’Urbanisme qui sera accueillie par l’Eurométropole de Strasbourg les 8 - 9 et 10 novembre prochains autour du thème « Construire l’Europe des lieux et des liens » . Au moment où l’Union Européenne est face à une étape de refondation - avec dans les mois à venir la mise en place d’un nouvel agenda post-Brexit et post-2020 - afin de définir un nouveau projet européen - le réseau des agences s’interrogera au cours de ces journées sur une question centrale : « Et si les territoires étaient la chance de l’Europe ? ». En effet - pour cette refondation - l’Europe ne doit pas être seulement une affaire d’États : pour susciter l’adhésion - un nouveau projet européen devra nécessairement s’inscrire de façon forte dans les réalités territoriales et dans les expériences concrètes des individus. Ce numéro présente ainsi un aperçu de la diversité des actions des agences d’urbanisme sur les liens européens avec les collectivités - l’État et l’ensemble des acteurs avec lesquelles elles travaillent - illustrant la volonté du réseau d’apporter sa contribution à la construction de ce nouvel agenda européen.;Disponible;
445;21;1;Abécédaire - Systèmes territoriaux régionaux;174;167;Non;01/01/16;90 p.;Non;111;5;Non;Physique & en ligne;Z:\0_BIBLIOTHEQUE\Documenthèque\_BD_DOC\BD_Docs&Ressources\Aménagement_du_Territoire\AMT00063_Abcdaire_SystemesTerritoriaux_FNAU.pdf;Non;1;AMT 00063;"La FNAU a choisi d'éclairer prioritairement les enjeux des territoires français sous l'angle des ""interrelations"" et des ""coresponsabilités"" territoriales. Plusieurs idées directrices auxquelles sont attachées les agences d'urbanisme guident ce travail:  l'approche pour les liens et la gouvernance pour la co-construction territoriale - l'analyse par les ""écosystèmes économiques et d'innovation"" - la connaissance par les flux pour appréhender la ""société mobile et connectée"" - les ""biens communs"" pour aborder les politiques territoriales - le développement humain et la qualité de vie pour aborder les disparités et les enjeux de cohésion territoriale. ";Non disponible;
648;1;13;Les oubliés du logement;54;286;Non;25/08/17;71 p.;Non;111;5;Non;Physique & en ligne;Non;http://entretiensinxauseta.fr/wp-content/uploads/2017/11/ACTES-ENTRETIENS-2017.pdf;1;HAB 00040;Les Entretiens d’Inxauseta du 25 août 2017 ont abordé deux questions essentielles de l’équilibre des territoires et de la qualité de vie des habitants - notamment les plus fragiles. Ce thème est les oubliés du logement.;Disponible;
646;21;3;Vers un urbanisme collaboratif;174;167;Non;01/09/17;139 p.;Non;111;5;978-2-07-273091-7;Physique;Non;Non;1;AMU 00179;Un relatif consensus émerge sur la nécessité d’intégrer les individus dans les projets d’aménagement et sur cette transformation dans la représentation du citoyen-habitant-usager et dans le rôle de l’individu comme « partie prenante » du territoire (et plus seulement - comme bénéficiaire ou consommateur passif). Pourtant un décalage reste de mise entre les discours et leur concrétisation – décalage qui contribue à exacerber attentes et frustrations - au sein d’une société civile dont les capacités d’organisation montent par ailleurs en puissance. Mode essentiel du dialogue entre décideurs et citoyens - la concertation autour des politiques publiques et des projets urbains ne semble plus à la mesure de l’enjeu. Dorénavant - il faut inverser le regard pour considérer l’ensemble des acteurs du territoire – institutionnels - économiques - associatifs ou particuliers - - comme autant de ressources et de moteurs pour son développement. Cette reconfiguration des rôles ne va pas de soi. Elle impose de revisiter les bases communes de réflexion et d’action collective. Les agences d’urbanisme disposent d’une longue et solide expérience du « faire avec » les institutions - mais aussi la sphère économique. Désormais - elles contribuent à la construction d’un savoir-faire professionnel - susceptible de faciliter l’émergence d’un « faire avec » les individus – usagers - habitants et citoyens.;Disponible;
643;21;9;Des patrimoines à l'économie - réinventons les politiques de nos territoires;259;117;Non;01/11/17;66 p.;Non;111;5;Non;Physique;Non;Non;1;ECO 00044;"Le deuxième congrès national de l'association Sites et Cités remarquables de France s'est tenu à Calais les 28 et 29 septembre 2017 autour du thème : ""Des patrimoines à l'économie - réinventons les politiques de nos territoires"". Le nouveau numéro hors-série de la revue Urbanisme - réalisé en partenariat avec Sites & Cités remarquables - rend compte des travaux et problématiques de ce congrès : comment mieux faire connaître ces patrimoines - aux multiples formes (historique - architectural - urbain - paysager - culturel - gastronomique - etc.) ? Comment faire en sorte qu'ils participent au développement durable du territoire et à la qualité de vie de ses habitants ? Quels partenariats susciter entre les collectivités et l'Etat pour échafauder des projets touristiques et les vendre ? Par ailleurs - le besoin urgent d'une requalification urbaine - commerciale - culturelle des centres-ville anciens justifie l'appel lancé lors du congrès par les collectivités locales aux pouvoirs publics nationaux pour que soient prises les mesures d'accompagnement nécessaires. La valorisation des patrimoines peut en effet devenir un levier de reconquête de ces centres anciens. ";Disponible;
641;21;3;Club Projet urbain et paysage - n°15;174;167;Non;01/10/17;46 p.;Non;111;5;Non;Physique & en ligne;Non;http://www.aurh.fr/media/club_pup_fecamp2017_bd__084194000_2030_23112017.pdf;1;AMU 00177;Chaque année le club « Projet Urbain & Paysage » de la FNAU - dont l'AUDAP est un membre actif - mobilise architectes - paysagistes et urbanistes sur un territoire à forts enjeux. En 2017 - l'agence d'urbanisme du Havre et de l'Estuaire de la Seine (AURH) et l'agglomération Fécamp Caux Littoral ont sollicité le club pour proposer des scénarios d'aménagement sur le coeur de l'agglomération. Organisé du 29 au 31 mars - l'atelier a analysé les potentialités et les contraintes des sites et a mis en évidence le rôle que ceux-ci peuvent jouer pour le développement de l'agglomération. Plus d'une vingtaine d'experts venus d'agences d'urbanisme ont travaillé sur le terrain - confronté leurs approches - au service de ce territoire. L'AUDAP a plus particulièrement participé au groupe de réflexion « Interface Ville-Port ».;Disponible;
640;21;3;Les dossiers FNAU | Révéler le potentiel des agglomérations moyennes;174;167;Non;01/10/17;42 p.;Non;111;5;1295-5760;Physique & en ligne;Non;http://www.fnau.org/wp-content/uploads/2017/10/dossier-42-agglo-moyennes-web.pdf;3;AMU 00180;Les agglomérations moyennes sont au coeur de l'attention des pouvoirs publics depuis l'été 2017 - avec la préparation d'un futur plan national villes moyennes. Avant même cette annonce - les élus du bureau de la FNAU avaient souhaité travailler sur ces agglomérations qui maillent le territoire français mais qui ont aujourd'hui besoin de révéler leur potentiel - et - pour certaines d'entre elles - de rebondir. Le Dossier FNAU 42 présente des propositions concrètes sur les leviers qui peuvent être mobilisés pour reconquérir les centres villes - notamment via des actions sur le logement et les espaces publics - un travail sur les fonctions de centralité et en particulier le commerce et l'enseignement supérieur - sur la mutation économique et l'innovation - sur la mobilité ou encore sur la culture et la qualité de vie.;Disponible;
626;2;18;Les territoires français en 50 cartes;92;124;Non;01/11/16;167 p.;Non;111;5;978-2-11-145146-9;Physique;Non;Non;1;HUM 00031;Le CGET et La Documentation française éditent un ouvrage - en format poche - qui propose une sélection d’indicateurs cartographiés et une approche synthétique de la diversité des territoires français - à travers une série de 50 cartes. Réalisées par le service cartographique du CGET - elles montrent les disparités territoriales dans les domaines démographique - économique - social et environnemental. Pédagogique - cette publication explicite les facteurs à l’origine de ces disparités - structurelles ou conjoncturelles - dans le peuplement des espaces - le tissu productif local - les caractéristiques paysagères ou - encore - celles liées aux modes de vie et à des pratiques culturelles spécifiques. Ces disparités entre territoires ne constituent pas nécessairement des inégalités : la diversité des espaces qui composent la France en fait aussi sa richesse.;Disponible;
631;21;3;Bastides en Aquitaine : repères d'urbanité - patrimoine et modernité;313;102;Non;01/09/08;59 p.;Non;111;5;978-2-85302-156-2;Physique;Non;Non;1;AMU 00174;Au-delà d'un simple regard historique sur les bastides - ce livre propose une réflexion didactique sur leurs caractéristiques urbaines et leurs évolutions à travers le temps afin d'interpeller le lecteur sur des questions contemporaines : quelles solutions architecturales et urbaines apporter pour respecter - valoriser et transmettre le patrimoine des bastides ? Quelles leçons tirer de cet urbanisme si particulier pour répondre aux besoins des villes d'aujourd'hui ? L'urbanisme des bastides pourrait-il aider à comprendre les dangers de l'étalement urbain ? Pour répondre à cette problématique - six bastides font l'objet d'une brève présentation suivie d'une réflexion portée sur les enjeux urbains qu'elles incarnent.;Disponible;
634;13;1;Guide de la modernisation du plan local d'urbanisme;306;88;Non;01/04/17;180 p.;Non;111;5;Non;Physique & en ligne;Non;http://www.cohesion-territoires.gouv.fr/IMG/pdf/guide_de_la_modernisation_du_contenu_du_plan_local_d_urbanisme_-_avril_2017.pdf;1;AMU 00176;Ce guide s’adresse aux techniciens des collectivités - des bureaux d’étude et de l’État - auteurs de PLU ou PLUi - afin qu’ils puissent s’approprier les nouveaux outils réglementaires et les utiliser pour traduire la grande diversité des projets de territoire. ;Non disponible;
627;21;7;Rapport d'activité 2016 du Seignanx;118;237;Non;07/08/17;23 p.;Non;111;5;Non;Physique & en ligne;Non;http://www.cc-seignanx.fr/Communaute-de-Communes/Votre-Communaute/Le-kiosque/Rapport-d-activites-2016;1;COL 00011;Le rapport d'activité 2016 de la Communauté de communes du Seignanx illustre le projet communautaire et les ambitions que nous portons - au service de la population et des huit communes de notre territoire. C'est l'occasion de présenter - compétence par compétence - les réalisations concrètes de la collectivité : aménager et structurer le territoire - accueillir des entreprises - créer et fixer des emplois - produire du logement accessible pour les ménages mais aussi pour les personnes vieillissantes - aider au maintien à domicile et préserver le lien social des personnes agées et handicapées - valoriser un cadre naturel exceptionnel dans une ambition de développement durable - animer le territoire pour le rendre toujours plus attractif - initier des solidarités actives entre les commmunes et pour tous les habitants.;Disponible;
629;21;10;3èmes Assises nationales de la qualité de l'air;8;331;Non;15/09/17;15 p.;Non;111;5;Non;Physique;Non;Non;1;ENV 00076;Les journées organisées par le Ministère de l'Environnement - de l'Energie et de la Mer et par l'ADEME - les troisièmes assises nationales de la qualité de l'air ont eu lieu à Paris les 22 et 23 septembre 2016. Ce document reprend les actes de ces journées. Pour cette édition - l’action dans les territoires était à l’honneur. L’objectif était de mobiliser l’ensemble des acteurs pour : échanger - valoriser les retours d'expériences - mieux connaître les outils mobilisables - et définir ensemble les bonnes pratiques pour changer les comportements en faveur de la qualité de l’air intérieur et extérieur - dans tous les secteurs d’activité. Cette édition s’adresse à l’ensemble des acteurs de la qualité de l’air et des thématiques qui y sont liées. Elus - représentants de collectivités en charge de la santé-environnement - de l’urbanisme - de la mobilité - de la petite enfance et de l’éducation - associations - universitaires - représentants de l'Etat - bureaux d'études - représentants des acteurs économiques ont trouvé des informations utiles à l’action en assistant à cette manifestation. Le programme de cette manifestation a été construit autour des quatre étapes d’un projet : initier - réaliser - évaluer et communiquer. Chaque séquence a été marquée par des témoignages et la présentation d’outils mobilisables par les acteurs qui participent à la mise en œuvre d’actions en faveur de la qualité de l’air. Quatre ateliers se sont déroulés en parallèle pour approfondir quatre sujets. Un temps de travail collectif pour conduire au changement de comportement était également au programme.;Disponible;
632;14;14;Information géographique et dynamiques urbaine 1 - analyse et simulation de la mobilité des personnes;285;113;Non;01/04/08;291 p.;1;111;5;978-2-7462-2034-8;Physique;Non;Non;1;IDC  00039;Ce premier volume présente des exemples d'analyse et de simulation des comportements de mobilité des citadins afin de vaquer à leurs activités quotidiennes - selon une perspective d'impact sur l'évolution à long terme de la forme urbaine. Ils sont étudiés en fonction des contraintes et des potentiels offerts par la structure des réseaux de transport et selon la distribution des fonctions urbaines du territoire.;Non disponible;
633;14;14;Information géographique et dynamiques urbaines 2 - accessibilité - environnement - paysage et valeur foncière;285;113;Non;01/04/08;263 p.;2;111;5;978-2-7462-2035-5;Physique;Non;Non;1;IDC 00040;Ce deuxième volume présente la ville comme un système animé qui subit des transformations continuelles : on s'y déplace et les activités s'y localisent selon des logiques spécifiques à chaque secteur - entrainant à long terme - des changements dans la forme urbaine. Le développement du tissu urbain résulte de la conjonction d'une multitude de processus individuels qui se déroulent à des échelles temporelles qui vont de l'heure à quelques décennies...;Non disponible;
630;21;16;Déchets - Le Béarn à la pointe du tri;256;120;Non;05/10/17;8 p.;Non;111;5;Non;Physique;Non;Z:\0_BIBLIOTHEQUE\Documenthèque\_BD_DOC\BD_Docs&Ressources\Environnement_Paysage\RES00004_dechets_bearn_pointedutri_valor_20171113.pdf;3;RES 00004;A Sévignacq - le nouveau centre de tri high-tech de Valor Béarn sera inauguré le 7 octobre. Cet outil unique en Nouvelle-Aquitaine permet in fine de valoriser au mieux les déchets ménagers des Béarnais. Le dossier comprend une première partie sur le centre de tri. La deuxième partie est dédiée à une interview de Monique Sémavoine - Présidente de Valor Béarn. La troisième partie - à des infographies autour du tri sélectif. Enfin - une dernière partie décrit les différentes étapes de gestion des dechets.;Disponible;
637;21;18;25 ans de savoir-faire au service de la culture basque;154;180;Non;01/09/16;70 p.;Non;111;5;Non;Physique & en ligne;Non;http://files.eke.eus/liburutegia/icb-25-ans.pdf;1;HUM 00032;Le document publié par l'ICB au mois de septembre 2016 a pour objectif de présenter ses principaux champs d’intervention. L'occasion de dresser une cartographie montrant la répartition de ses actions sur l’ensemble des territoires dans lesquels il intervient ou accompagne des projets.;Disponible;
638;21;14;Orthophotographies : définition et mise en œuvre appliquée à la BD ORTHO de l'IGN;85;254;Non;01/11/03;123 p.;Non;111;5;2-11-094113-8;Physique;Non;Non;1;IDC 00042;"Les orthophotographies sont aujourd'hui des outils fondamentaux de l'information géographique. Les formats comprimés - l'ergonomie des outils - la puissance accrue des ordinateurs ainsi que l'augmentation des moyens de stockage permettent des utilisations très simplifiées de ce type de données. Composante "" image "" du futur Référentiel à Grande Échelle (RGE) l'orthophotographie doit donc occuper une place importante au sein des systèmes d'information géographique. L'ouvrage décrit très concrètement la mise en œuvre et l'utilisation des orthophotographies de la BD ORTHO° de l'IGN. Après avoir défini l'orthophotographie en général et cette base de données - il présente successivement les conditions de stockage - la mise à disposition - l'utilisation et la concession des droits d'utilisation des orthophotographies. Ces différents points sont illustrés par quatre exemples de mise en œuvre dans des directions départementales de l'équipement. Cet ouvrage s'adresse à l'ensemble des acteurs de l'information géographique - qu'ils soient chargés d'études dans les domaines variés d'utilisation (urbanisme - aménagement - environnement) - géomaticiens expérimentés ou administrateurs de données localisées.";Disponible;
636;13;14;La 3e dimension géographique : utilisation des modèles numériques de terrain illustrée par la BD Alti de l'IGN;85;254;Non;01/12/01;98 p.;Non;111;5;0247-1159;Physique;Non;Non;1;IDC 00041;Le monde ne se regarde plus uniquement en projection sur une carte ou sur un écran d'ordinateur - mais en trois dimensions. Les besoins de modéliser notre environnement avec un soucis croissant de réalisme émergent avec les évolutions des outils et des données mis à notre disposition. L'objectif de ce guide est de présenter les différentes possibilités d'intégrer simplement la troisième dimension géographique au sein des SIG. Les différentes méthodes sont décrites en les abordant d'abord par un aspect théorique - indispensable pour une meilleure compréhension. Elles sont ensuite illustrées par l'exemple - à l'aide de la base de données IGN qu'est la BD Alti® - et l'utilitaire Vertical Mapper dédié à la gestion des modèles numériques de terrain dans MapInfo. Les principaux thèmes abordés dans cet ouvrage sont les suivants : les différentes façons de représenter le relief  - les modèles numériques de terrain et les différentes méthodes d'interpolation  - la BD Alti® de l'IGN : présentation - constitution et précision  - les produits dérivés des MNT : courbes de niveau - hypsométrie - ensoleillement - intervisibilité - vues 3D  - des notions de sémiologie graphique  - l'utilisation de Vertical Mapper. Cet ouvrage s'adresse à tous les techniciens de l'information géographique et à tous ceux qui s'intéressent de près ou de loin à la représentation du relief.;Disponible;
